SQLDATE,top_country,n_events_18,AvgTone_18,avg_lat,avg_long
20260110,NI,54,-5.34125044740323,9.530539444444443,6.833753333333333
20260112,CA,53,-4.9587659931615935,47.47233962264151,-86.55314150943397
20260109,MX,52,-4.94119545338119,23.875675,-103.42034807692306
20260111,UK,52,-3.799533502325822,53.180228846153845,-2.355715942307692
20260115,CA,52,-4.685830057409867,50.35961923076923,-91.95703653846152
20260113,MX,49,-7.623548661184656,21.926095918367345,-100.18453673469388
20260110,SY,46,-5.466906951080143,35.34140869565218,37.40024347826087
20260110,BG,46,-8.624386268924031,24.277354347826083,90.59025
20260116,NI,45,-7.092189917381047,8.870272222222221,6.495417333333334
20260109,CA,45,-5.3251180652366905,48.81705111111111,-92.77145555555556
20260114,MX,44,-7.854918737479035,24.108675,-103.34727045454544
20260114,AS,44,-6.741655506775782,-34.28301136363637,143.06429545454546
